PlayerId,PlayerName,BirthDate,BirthYear,BirthMonth,BirthDay,Birthplace,Country,Height_info,Height,Weight,Position_info,Position,Shoots,DraftYear,DraftRound,RoundRank,Overall,Season,Team,GameType,GP,G,A,P,PlusMinus,PIM,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,FOW%
8468517,Andy Hilbert,1981-02-06,1981,02,06,"Howell, MI, USA",USA,"5' 10""",70,188,LW,L,Left,2000,2,7,37,1999-2000,U. Of Michigan Wolverines,Regular Season,35,17,15,32,--,39,--,--,--,--,--,--,--,--,0
8468517,Andy Hilbert,1981-02-06,1981,02,06,"Howell, MI, USA",USA,"5' 10""",70,188,LW,L,Left,2000,2,7,37,1999-2000,United States,Regular Season,7,1,1,2,--,0,--,--,--,--,--,--,--,--,0
8468518,Tomas Kopecky,1982-02-05,1982,02,05,"Ilava, SVK",SVK,"6' 3""",75,210,RW,R,Left,2000,2,8,38,1999-2000,Trencin Jr. Dukla Trencin Jr.,Regular Season,14,8,9,17,--,36,--,--,--,--,--,--,--,--,0
8468518,Tomas Kopecky,1982-02-05,1982,02,05,"Ilava, SVK",SVK,"6' 3""",75,210,RW,R,Left,2000,2,8,38,1999-2000,Trencin Dukla Trencin,Regular Season,52,3,4,7,--,24,--,--,--,--,--,--,--,--,0
8468518,Tomas Kopecky,1982-02-05,1982,02,05,"Ilava, SVK",SVK,"6' 3""",75,210,RW,R,Left,2000,2,8,38,1999-2000,Slovakia,Regular Season,7,0,2,2,--,4,--,--,--,--,--,--,--,--,0
8468518,Tomas Kopecky,1982-02-05,1982,02,05,"Ilava, SVK",SVK,"6' 3""",75,210,RW,R,Left,2000,2,8,38,1999-2000,Slovakia,Regular Season,1,0,0,0,--,0,--,--,--,--,--,--,--,--,0
8468518,Tomas Kopecky,1982-02-05,1982,02,05,"Ilava, SVK",SVK,"6' 3""",75,210,RW,R,Left,2000,2,8,38,1999-2000,Trencin Dukla Trencin,Playoffs,5,0,0,0,--,0,--,--,--,--,--,--,--,--,0
8468520,Kurtis Foster,1981-11-24,1981,11,24,"Carp, ON, CAN",CAN,"6' 5""",77,225,D,D,Right,2000,2,10,40,1999-2000,Peterborough Petes,Regular Season,68,6,18,24,--,116,--,--,--,--,--,--,--,--,0
8468520,Kurtis Foster,1981-11-24,1981,11,24,"Carp, ON, CAN",CAN,"6' 5""",77,225,D,D,Right,2000,2,10,40,1999-2000,Peterborough Petes,Playoffs,5,1,2,3,--,4,--,--,--,--,--,--,--,--,0
8468523,Matt Pettinger,1980-10-22,1980,10,22,"Edmonton, AB, CAN",CAN,"6' 1""",73,205,LW,L,Left,2000,2,13,43,1999-2000,U. Of Denver Pioneers,Regular Season,19,2,6,8,--,49,--,--,--,--,--,--,--,--,0
8468523,Matt Pettinger,1980-10-22,1980,10,22,"Edmonton, AB, CAN",CAN,"6' 1""",73,205,LW,L,Left,2000,2,13,43,1999-2000,Calgary Hitmen,Regular Season,27,14,6,20,--,41,--,--,--,--,--,--,--,--,0
8468523,Matt Pettinger,1980-10-22,1980,10,22,"Edmonton, AB, CAN",CAN,"6' 1""",73,205,LW,L,Left,2000,2,13,43,1999-2000,Canada,Regular Season,7,4,0,4,--,4,--,--,--,--,--,--,--,--,0
8468523,Matt Pettinger,1980-10-22,1980,10,22,"Edmonton, AB, CAN",CAN,"6' 1""",73,205,LW,L,Left,2000,2,13,43,1999-2000,Calgary Hitmen,Playoffs,11,2,6,8,--,30,--,--,--,--,--,--,--,--,0
8468526,Jarret Stoll,1982-06-24,1982,06,24,"Melville, SK, CAN",CAN,"6' 1""",73,216,C,C,Right,2002,2,6,36,2001-2002,Kootenay Ice,Regular Season,47,32,34,66,8,64,12,--,3,--,2,--,--,--,0
8468526,Jarret Stoll,1982-06-24,1982,06,24,"Melville, SK, CAN",CAN,"6' 1""",73,216,C,C,Right,2002,2,6,36,2001-2002,Canada,Regular Season,7,2,4,6,--,4,--,--,--,--,--,--,--,--,0
8468526,Jarret Stoll,1982-06-24,1982,06,24,"Melville, SK, CAN",CAN,"6' 1""",73,216,C,C,Right,2002,2,6,36,2001-2002,Kootenay Ice,Regular Season,4,0,5,5,--,0,--,--,--,--,--,--,--,--,0
8468526,Jarret Stoll,1982-06-24,1982,06,24,"Melville, SK, CAN",CAN,"6' 1""",73,216,C,C,Right,2002,2,6,36,2001-2002,Kootenay Ice,Playoffs,22,6,14,20,--,35,0,--,0,--,1,--,--,--,0
8468526,Jarret Stoll,1982-06-24,1982,06,24,"Melville, SK, CAN",CAN,"6' 1""",73,216,C,C,Right,2002,2,6,36,2001-2002,Kootenay Ice,Playoffs,4,0,5,5,--,0,--,--,--,--,--,--,--,--,0
8468527,Jared Aulin,1982-03-15,1982,03,15,"Calgary, AB, CAN",CAN,"6' 0""",72,192,C,C,Right,2000,2,17,47,1999-2000,Kamloops Blazers,Regular Season,57,17,38,55,--,70,--,--,--,--,--,--,--,--,0
8468527,Jared Aulin,1982-03-15,1982,03,15,"Calgary, AB, CAN",CAN,"6' 0""",72,192,C,C,Right,2000,2,17,47,1999-2000,Kamloops Blazers,Playoffs,4,0,1,1,--,6,--,--,--,--,--,--,--,--,0
8468529,Jonas Nordqvist,1982-04-26,1982,04,26,"Leksand, SWE",SWE,"6' 3""",75,202,C,C,Left,2000,2,19,49,1999-2000,Leksands IF Jr.,Regular Season,34,15,24,39,--,32,--,--,--,--,--,--,--,--,0
8468529,Jonas Nordqvist,1982-04-26,1982,04,26,"Leksand, SWE",SWE,"6' 3""",75,202,C,C,Left,2000,2,19,49,1999-2000,Leksand Leksands IF,Regular Season,3,0,0,0,--,0,--,--,--,--,--,--,--,--,0
8468529,Jonas Nordqvist,1982-04-26,1982,04,26,"Leksand, SWE",SWE,"6' 3""",75,202,C,C,Left,2000,2,19,49,1999-2000,Sweden,Regular Season,7,2,4,6,--,0,--,--,--,--,--,--,--,--,0
8468529,Jonas Nordqvist,1982-04-26,1982,04,26,"Leksand, SWE",SWE,"6' 3""",75,202,C,C,Left,2000,2,19,49,1999-2000,Leksands IF U18,Regular Season,2,0,2,2,--,0,--,--,--,--,--,--,--,--,0
8468529,Jonas Nordqvist,1982-04-26,1982,04,26,"Leksand, SWE",SWE,"6' 3""",75,202,C,C,Left,2000,2,19,49,1999-2000,Leksands IF Jr.,Playoffs,2,0,0,0,--,2,--,--,--,--,--,--,--,--,0
8468529,Jonas Nordqvist,1982-04-26,1982,04,26,"Leksand, SWE",SWE,"6' 3""",75,202,C,C,Left,2000,2,19,49,1999-2000,Leksands IF U18,Playoffs,4,3,5,8,--,0,--,--,--,--,--,--,--,--,0
