PlayerID,PlayerName,Season,GameType,Team,Position,GP,G,A,P,PlusMinus,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,TOI/GP_sec,Shifts/GP,FOW%
8459557,Antti Aalto,2000-2001,Regular Season,ANA,C,12,1,1,2,1,2,0.17,0,0,0,0,0,0,18,5.6,00:10:36,636,15.3,40.4
8444894,Greg Adams,2000-2001,Regular Season,FLA,L,60,11,12,23,-3,10,0.38,2,2,0,0,1,0,66,16.7,00:14:23,863,18.4,46.2
8465166,Craig Adams,2000-2001,Regular Season,CAR,R,44,1,0,1,-7,20,0.02,0,0,0,0,0,0,15,6.7,00:04:30,270,6.4,25.0
8467867,Bryan Adams,2000-2001,Regular Season,ATL,L,9,0,1,1,-4,2,0.11,0,0,0,0,0,0,3,0.0,00:09:36,576,15.2,0.0
8459446,Kevyn Adams,2000-2001,Regular Season,"CBJ, FLA",C,78,11,18,29,3,54,0.37,0,0,0,1,3,0,105,10.5,00:15:37,937,21.5,55.9
8467397,Dimitri Afanasenkov,2000-2001,Regular Season,TBL,L,9,1,1,2,1,4,0.22,0,0,0,0,0,0,8,12.5,00:11:24,684,14.6,28.6
8466202,Maxim Afinogenov,2000-2001,Regular Season,BUF,R,78,14,22,36,1,40,0.46,3,10,0,0,5,2,190,7.4,00:14:32,872,17.2,0.0
8455413,Mika Alatalo,2000-2001,Regular Season,PHX,L,70,7,12,19,1,22,0.27,0,1,0,0,1,0,64,10.9,00:10:58,658,14.9,0.0
8444919,Tommy Albelin,2000-2001,Regular Season,CGY,D,77,1,19,20,2,22,0.26,1,11,0,0,0,0,69,1.4,00:20:52,1252,26.5,0.0
8460621,Daniel Alfredsson,2000-2001,Regular Season,OTT,R,68,24,46,70,11,30,1.03,10,25,0,0,3,0,206,11.7,00:18:46,1126,22.9,50.0
8467332,Bryan Allen,2000-2001,Regular Season,VAN,D,6,0,0,0,0,0,0.00,0,0,0,0,0,0,2,0.0,00:09:20,560,12.7,0.0
8459439,Jason Allison,2000-2001,Regular Season,BOS,C,82,36,59,95,-8,85,1.16,11,44,3,4,6,0,185,19.5,00:23:21,1401,24.3,51.9
8459466,Jamie Allison,2000-2001,Regular Season,CHI,D,44,1,3,4,7,53,0.09,0,0,0,0,0,0,16,6.3,00:14:32,872,20.1,100.0
8455429,Tony Amonte,2000-2001,Regular Season,CHI,R,82,35,29,64,-22,54,0.78,9,23,1,1,3,0,256,13.7,00:22:08,1328,26.0,40.7
8455447,Niklas Andersson,2000-2001,Regular Season,CGY,L,11,0,1,1,0,4,0.09,0,0,0,0,0,0,8,0.0,00:11:09,669,18.0,25.0
8445000,Dave Andreychuk,2000-2001,Regular Season,BUF,L,74,20,13,33,0,32,0.45,8,15,0,0,4,0,119,16.8,00:11:59,719,14.5,49.7
8467353,Nik Antropov,2000-2001,Regular Season,TOR,C,52,6,11,17,5,30,0.33,0,3,0,0,1,0,71,8.5,00:10:01,601,12.3,44.3
8467386,Denis Arkhipov,2000-2001,Regular Season,NSH,C,40,6,7,13,0,4,0.33,0,1,0,0,0,0,42,14.3,00:09:55,595,13.1,43.8
8459064,Derek Armstrong,2000-2001,Regular Season,NYR,C,3,0,0,0,0,0,0.00,0,0,0,0,0,0,6,0.0,00:11:22,682,12.7,50.0
8459478,Chris Armstrong,2000-2001,Regular Season,MIN,D,3,0,0,0,-3,0,0.00,0,0,0,0,0,0,4,0.0,00:18:06,1086,24.3,0.0
8459429,Jason Arnott,2000-2001,Regular Season,NJD,C,54,21,34,55,23,75,1.02,8,15,0,0,3,0,138,15.2,00:16:12,972,18.7,49.6
8466249,Magnus Arvedson,2000-2001,Regular Season,OTT,L,51,17,16,33,23,24,0.65,1,1,2,2,4,0,79,21.5,00:16:00,960,22.2,28.6
8465025,Arron Asham,2000-2001,Regular Season,MTL,R,46,2,3,5,-9,59,0.11,0,1,0,0,0,0,32,6.3,00:08:27,507,12.3,100.0
8468000,Kaspars Astashenko,2000-2001,Regular Season,TBL,D,15,1,1,2,-4,4,0.13,0,0,0,0,0,0,4,25.0,00:06:50,410,8.7,0.0
8455479,Blair Atcheynum,2000-2001,Regular Season,CHI,R,19,1,2,3,-7,2,0.16,0,0,0,0,0,0,18,5.6,00:09:05,545,13.7,35.5
8460649,Serge Aubin,2000-2001,Regular Season,CBJ,C,81,13,17,30,-20,107,0.37,0,0,0,1,2,0,110,11.8,00:16:20,980,22.1,51.3
8459053,Adrian Aucoin,2000-2001,Regular Season,"VAN, TBL",D,73,4,24,28,5,45,0.38,2,17,0,0,0,0,159,2.5,00:20:12,1212,23.3,0.0
8445176,Donald Audette,2000-2001,Regular Season,"ATL, BUF",R,76,34,45,79,-2,76,1.04,14,31,1,1,3,0,225,15.1,00:19:50,1190,22.3,50.0
8462209,P.J. Axelsson,2000-2001,Regular Season,BOS,L,81,8,15,23,-12,27,0.28,0,0,0,0,2,0,146,5.5,00:12:30,750,16.4,36.6
8465002,Yuri Babenko,2000-2001,Regular Season,COL,C,3,0,0,0,0,0,0.00,0,0,0,0,0,0,2,0.0,00:10:34,634,15.3,23.1
8458962,Drew Bannister,2000-2001,Regular Season,NYR,D,3,0,0,0,-1,0,0.00,0,0,0,0,0,0,3,0.0,00:10:47,647,16.7,0.0
8459019,Matthew Barnaby,2000-2001,Regular Season,"PIT, TBL",R,76,5,8,13,-10,265,0.17,1,4,0,0,0,0,67,7.5,00:09:37,577,12.6,37.5
8455521,Stu Barnes,2000-2001,Regular Season,BUF,C,75,19,24,43,-2,26,0.57,3,11,2,2,5,1,160,11.9,00:19:06,1146,22.7,48.3
8445266,Murray Baron,2000-2001,Regular Season,VAN,D,82,3,8,11,-13,63,0.13,0,0,0,2,1,0,56,5.4,00:19:24,1164,28.1,66.7
8445283,Len Barrie,2000-2001,Regular Season,FLA,C,60,5,18,23,4,135,0.38,0,3,1,1,2,0,48,10.4,00:12:34,754,17.5,50.6
8466437,Lubos Bartecko,2000-2001,Regular Season,STL,L,50,5,8,13,-1,12,0.26,0,1,0,0,3,0,51,9.8,00:10:24,624,14.6,50.0
8468694,Peter Bartos,2000-2001,Regular Season,MIN,L,13,4,2,6,2,6,0.46,1,2,0,0,1,0,18,22.2,00:13:49,829,19.8,33.3
8466130,Andrei Bashkirov,2000-2001,Regular Season,MTL,L,18,0,3,3,-2,0,0.17,0,0,0,0,0,0,22,0.0,00:11:40,700,16.9,100.0
8459527,Shawn Bates,2000-2001,Regular Season,BOS,C,45,2,3,5,-12,26,0.11,0,2,0,0,0,0,59,3.4,00:09:18,558,13.2,50.6
8460620,Bates Battaglia,2000-2001,Regular Season,CAR,L,80,12,15,27,-14,76,0.34,2,3,0,0,3,1,133,9.0,00:14:28,868,18.5,60.0
8460500,Nolan Baumgartner,2000-2001,Regular Season,CHI,D,8,0,0,0,-4,6,0.00,0,0,0,0,0,0,7,0.0,00:12:39,759,18.5,50.0
8467880,Kris Beech,2000-2001,Regular Season,WSH,C,4,0,0,0,-2,2,0.00,0,0,0,0,0,0,0,0.0,00:07:28,448,9.8,36.0
8464994,Steve Begin,2000-2001,Regular Season,CGY,L,4,0,0,0,0,21,0.00,0,0,0,0,0,0,3,0.0,00:06:04,364,11.0,0.0
