P,GD,MD,venue,sum_home_future_goals,sum_away_future_goals,sum_sum_future_goals,count
1,-5,0,away,1.0000,3.0000,4.0000,1
1,-4,-1,away,2.0000,0.0000,2.0000,1
1,-4,-1,home,3.0000,1.0000,4.0000,1
1,-4,0,away,15.0000,12.0000,27.0000,6
1,-4,0,home,3.0000,1.0000,4.0000,1
1,-3,-1,away,13.0000,12.0000,25.0000,5
1,-3,-1,home,15.0000,7.0000,22.0000,5
1,-3,0,away,64.9483,56.9662,121.9145,27
1,-3,0,home,52.5839,28.6053,81.1892,19
1,-3,1,away,15.0000,10.0000,25.0000,6
1,-3,1,home,26.9261,15.0000,41.9261,10
1,-2,-1,away,91.2500,74.8750,166.1250,37
1,-2,-1,home,47.0000,46.8750,93.8750,20
1,-2,0,away,320.7048,293.5414,614.2462,133
1,-2,0,home,253.7105,194.7521,448.4625,106
1,-2,1,away,93.0000,91.7509,184.7509,45
1,-2,1,home,86.8685,70.0000,156.8685,40
1,-1,-1,away,386.8510,372.7407,759.5917,166
1,-1,-1,home,325.6243,294.9052,620.5295,138
1,-1,0,away,1174.8936,1136.1420,2311.0351,490
1,-1,0,home,1052.0143,951.1615,2003.1751,445
1,-1,1,away,370.5752,375.1707,745.7459,173
1,-1,1,home,364.1074,357.9920,722.0994,179
1,0,-1,away,1292.7533,1201.8392,2494.5930,509
1,0,-1,home,1149.3739,1114.0271,2263.4014,478
1,0,0,away,3007.3775,2799.8037,5807.1816,1140
1,0,0,home,2999.8393,2795.8536,5795.6913,1138
1,0,1,away,1156.2378,1116.7035,2272.9408,479
1,0,1,home,1305.6394,1209.9341,2515.5735,515
1,1,-1,away,365.3385,358.7886,724.1272,180
1,1,-1,home,364.5920,363.4044,727.9963,170
1,1,0,away,1043.5131,943.5788,1987.0927,442
1,1,0,home,1166.5200,1130.5884,2297.1090,488
1,1,1,away,327.9722,296.7990,624.7712,138
1,1,1,home,399.2342,382.8317,782.0661,170
1,2,-1,away,87.0000,72.0000,159.0000,40
1,2,-1,home,96.0000,93.0000,189.0000,46
1,2,0,away,250.2099,191.7793,441.9892,105
1,2,0,home,323.4739,294.8605,618.3342,134
